 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-1.000000,0.357470,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
0.000000,0.335736,1000,1000,1.000000,1000,1000,1.000000,999,1000,0.999000,995,999,0.995000,0.000000,0.014800
1.000000,0.309003,1000,1000,1.000000,1000,1000,1.000000,984,1000,0.984000,966,984,0.966000,0.000000,0.100640
2.000000,0.283848,1000,1000,1.000000,986,1000,0.986000,919,986,0.919000,806,919,0.806000,0.000000,0.574240
3.000000,0.262118,1000,1000,1.000000,923,1000,0.923000,745,923,0.745000,594,745,0.594000,0.000000,1.201760
4.000000,0.233601,989,1000,0.989000,794,989,0.794000,530,794,0.530000,312,530,0.312000,0.032560,2.036480
5.000000,0.185402,897,1000,0.897000,562,897,0.562000,286,562,0.286000,129,286,0.129000,0.304880,2.578160
6.000000,0.118024,637,1000,0.637000,309,637,0.309000,115,309,0.115000,29,115,0.029000,1.074480,2.874160
7.000000,0.066493,403,1000,0.403000,141,403,0.141000,42,141,0.042000,7,42,0.007000,1.767120,2.939280
8.000000,0.037821,254,1000,0.254000,61,254,0.061000,12,61,0.012000,3,12,0.003000,2.208160,2.951120
9.000000,0.013916,109,1000,0.109000,12,109,0.012000,0,12,0.000000,0,0,0.000000,2.637360,2.960000
10.000000,0.005061,39,1000,0.039000,8,39,0.008000,0,8,0.000000,0,0,0.000000,2.844560,2.960000
11.000000,0.002105,16,1000,0.016000,3,16,0.003000,1,3,0.001000,0,1,0.000000,2.912640,2.960000
12.000000,0.000287,3,1000,0.003000,0,3,0.000000,0,0,0.000000,0,0,0.000000,2.951120,2.960000
