 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-2.000000,0.383398,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-1.000000,0.364012,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
0.000000,0.343855,1000,1000,1.000000,1000,1000,1.000000,998,1000,0.998000,981,998,0.981000,0.000000,0.048640
1.000000,0.323797,1000,1000,1.000000,995,1000,0.995000,955,995,0.955000,900,955,0.900000,0.000000,0.256000
2.000000,0.297648,1000,1000,1.000000,959,1000,0.959000,850,959,0.850000,721,850,0.721000,0.000000,0.714240
3.000000,0.257711,989,1000,0.989000,809,989,0.809000,575,809,0.575000,395,575,0.395000,0.028160,1.548800
4.000000,0.224660,929,1000,0.929000,636,929,0.636000,373,636,0.373000,188,373,0.188000,0.181760,2.078720
5.000000,0.151434,725,1000,0.725000,347,725,0.347000,137,347,0.137000,35,137,0.035000,0.704000,2.470400
6.000000,0.101301,507,1000,0.507000,194,507,0.194000,52,194,0.052000,9,52,0.009000,1.262080,2.536960
7.000000,0.051871,292,1000,0.292000,92,292,0.092000,20,92,0.020000,1,20,0.001000,1.812480,2.557440
8.000000,0.020453,132,1000,0.132000,23,132,0.023000,0,23,0.000000,0,0,0.000000,2.222080,2.560000
9.000000,0.008988,57,1000,0.057000,12,57,0.012000,1,12,0.001000,0,1,0.000000,2.414080,2.560000
10.000000,0.003375,25,1000,0.025000,2,25,0.002000,0,2,0.000000,0,0,0.000000,2.496000,2.560000
11.000000,0.001313,10,1000,0.010000,1,10,0.001000,0,1,0.000000,0,0,0.000000,2.534400,2.560000
12.000000,0.000000,0,1000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,2.560000,2.560000
