 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-2.000000,0.386844,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-1.000000,0.375656,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,998,1000,0.998000,0.000000,0.004480
0.000000,0.350263,1000,1000,1.000000,998,1000,0.998000,986,998,0.986000,963,986,0.963000,0.000000,0.082880
1.000000,0.330438,1000,1000,1.000000,990,1000,0.990000,934,990,0.934000,839,934,0.839000,0.000000,0.360640
2.000000,0.302040,998,1000,0.998000,894,998,0.894000,744,894,0.744000,555,744,0.555000,0.004480,0.996800
3.000000,0.256357,944,1000,0.944000,733,944,0.733000,478,733,0.478000,291,478,0.291000,0.125440,1.588160
4.000000,0.215335,860,1000,0.860000,535,860,0.535000,271,535,0.271000,117,271,0.117000,0.313600,1.977920
5.000000,0.142143,623,1000,0.623000,293,623,0.293000,97,293,0.097000,25,97,0.025000,0.844480,2.184000
6.000000,0.069607,351,1000,0.351000,126,351,0.126000,31,126,0.031000,1,31,0.001000,1.453760,2.237760
7.000000,0.036915,204,1000,0.204000,48,204,0.048000,7,48,0.007000,0,7,0.000000,1.783040,2.240000
8.000000,0.016192,92,1000,0.092000,15,92,0.015000,1,15,0.001000,0,1,0.000000,2.033920,2.240000
9.000000,0.005063,35,1000,0.035000,1,35,0.001000,0,1,0.000000,0,0,0.000000,2.161600,2.240000
10.000000,0.004067,23,1000,0.023000,1,23,0.001000,1,1,0.001000,1,1,0.001000,2.188480,2.237760
11.000000,0.001107,6,1000,0.006000,1,6,0.001000,0,1,0.000000,0,0,0.000000,2.226560,2.240000
