 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
4.000000,0.394645,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
5.000000,0.378820,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,996,1000,0.996000,0.000000,0.027840
6.000000,0.359217,1000,1000,1.000000,1000,1000,1.000000,994,1000,0.994000,962,994,0.962000,0.000000,0.264480
7.000000,0.342665,1000,1000,1.000000,1000,1000,1.000000,932,1000,0.932000,851,932,0.851000,0.000000,1.037040
8.000000,0.344267,1000,1000,1.000000,1000,1000,1.000000,864,1000,0.864000,660,864,0.660000,0.000000,2.366400
9.000000,0.305957,1000,1000,1.000000,985,1000,0.985000,236,985,0.236000,96,236,0.096000,0.000000,6.291840
10.000000,0.295194,1000,1000,1.000000,957,1000,0.957000,151,957,0.151000,48,151,0.048000,0.000000,6.625920
11.000000,0.276056,1000,1000,1.000000,871,1000,0.871000,90,871,0.090000,33,90,0.033000,0.000000,6.730320
12.000000,0.153786,747,1000,0.747000,137,747,0.137000,3,137,0.003000,2,3,0.002000,1.760880,6.946080
13.000000,0.055411,309,1000,0.309000,10,309,0.010000,0,10,0.000000,0,0,0.000000,4.809360,6.960000
14.000000,0.070365,403,1000,0.403000,21,403,0.021000,0,21,0.000000,0,0,0.000000,4.155120,6.960000
15.000000,0.001119,8,1000,0.008000,0,8,0.000000,0,0,0.000000,0,0,0.000000,6.904320,6.960000
