 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-5.000000,0.402446,1000,1000,1.000000,1000,1000,1.000000,999,1000,0.999000,997,999,0.997000,0.000000,0.001680
-4.000000,0.386000,1000,1000,1.000000,998,1000,0.998000,992,998,0.992000,959,992,0.959000,0.000000,0.022960
-3.000000,0.354268,996,1000,0.996000,980,996,0.980000,923,980,0.923000,808,923,0.808000,0.002240,0.107520
-2.000000,0.333946,980,1000,0.980000,903,980,0.903000,769,903,0.769000,602,769,0.602000,0.011200,0.222880
-1.000000,0.295161,926,1000,0.926000,747,926,0.747000,533,747,0.533000,337,533,0.337000,0.041440,0.371280
0.000000,0.245589,822,1000,0.822000,564,822,0.564000,306,564,0.306000,144,306,0.144000,0.099680,0.479360
1.000000,0.205732,698,1000,0.698000,373,698,0.373000,156,373,0.156000,67,156,0.067000,0.169120,0.522480
2.000000,0.120375,465,1000,0.465000,134,465,0.134000,24,134,0.024000,7,24,0.007000,0.299600,0.556080
3.000000,0.097339,379,1000,0.379000,89,379,0.089000,11,89,0.011000,3,11,0.003000,0.347760,0.558320
4.000000,0.057589,258,1000,0.258000,36,258,0.036000,7,36,0.007000,2,7,0.002000,0.415520,0.558880
5.000000,0.025179,115,1000,0.115000,6,115,0.006000,0,6,0.000000,0,0,0.000000,0.495600,0.560000
6.000000,0.013018,66,1000,0.066000,1,66,0.001000,0,1,0.000000,0,0,0.000000,0.523040,0.560000
7.000000,0.010250,48,1000,0.048000,1,48,0.001000,0,1,0.000000,0,0,0.000000,0.533120,0.560000
8.000000,0.002143,13,1000,0.013000,0,13,0.000000,0,0,0.000000,0,0,0.000000,0.552720,0.560000
9.000000,0.000446,2,1000,0.002000,0,2,0.000000,0,0,0.000000,0,0,0.000000,0.558880,0.560000
