 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
3.000000,0.330907,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
4.000000,0.334732,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,997,1000,0.997000,0.000000,0.018000
5.000000,0.313963,1000,1000,1.000000,1000,1000,1.000000,980,1000,0.980000,944,980,0.944000,0.000000,0.336000
6.000000,0.300323,1000,1000,1.000000,1000,1000,1.000000,934,1000,0.934000,827,934,0.827000,0.000000,1.038000
7.000000,0.287592,1000,1000,1.000000,998,1000,0.998000,721,998,0.721000,505,721,0.505000,0.000000,2.970000
8.000000,0.257455,1000,1000,1.000000,931,1000,0.931000,440,931,0.440000,274,440,0.274000,0.000000,4.356000
9.000000,0.205707,966,1000,0.966000,519,966,0.519000,96,519,0.096000,45,96,0.045000,0.204000,5.730000
10.000000,0.154450,824,1000,0.824000,242,824,0.242000,33,242,0.033000,10,33,0.010000,1.056000,5.940000
11.000000,0.077228,504,1000,0.504000,71,504,0.071000,6,71,0.006000,2,6,0.002000,2.976000,5.988000
12.000000,0.030508,218,1000,0.218000,17,218,0.017000,1,17,0.001000,0,1,0.000000,4.692000,6.000000
13.000000,0.004867,38,1000,0.038000,0,38,0.000000,0,0,0.000000,0,0,0.000000,5.772000,6.000000
14.000000,0.007548,52,1000,0.052000,0,52,0.000000,0,0,0.000000,0,0,0.000000,5.688000,6.000000
15.000000,0.000312,2,1000,0.002000,0,2,0.000000,0,0,0.000000,0,0,0.000000,5.988000,6.000000
