 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
5.000000,0.379725,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
6.000000,0.349982,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
7.000000,0.337483,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,998,1000,0.998000,0.000000,0.016800
8.000000,0.323263,1000,1000,1.000000,1000,1000,1.000000,944,1000,0.944000,801,944,0.801000,0.000000,1.671600
9.000000,0.319301,1000,1000,1.000000,1000,1000,1.000000,896,1000,0.896000,711,896,0.711000,0.000000,2.427600
10.000000,0.291585,1000,1000,1.000000,1000,1000,1.000000,501,1000,0.501000,207,501,0.207000,0.000000,6.661200
11.000000,0.280199,1000,1000,1.000000,995,1000,0.995000,291,995,0.291000,120,291,0.120000,0.000000,7.392000
12.000000,0.217337,998,1000,0.998000,626,998,0.626000,11,626,0.011000,2,11,0.002000,0.016800,8.383200
13.000000,0.220962,997,1000,0.997000,582,997,0.582000,8,582,0.008000,2,8,0.002000,0.025200,8.383200
14.000000,0.181496,942,1000,0.942000,228,942,0.228000,1,228,0.001000,0,1,0.000000,0.487200,8.400000
15.000000,0.079983,532,1000,0.532000,24,532,0.024000,0,24,0.000000,0,0,0.000000,3.931200,8.400000
16.000000,0.014298,111,1000,0.111000,1,111,0.001000,0,1,0.000000,0,0,0.000000,7.467600,8.400000
17.000000,0.001326,10,1000,0.010000,0,10,0.000000,0,0,0.000000,0,0,0.000000,8.316000,8.400000
18.000000,0.000118,1,1000,0.001000,0,1,0.000000,0,0,0.000000,0,0,0.000000,8.391600,8.400000
