 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
0.000000,0.428311,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
1.000000,0.398378,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,999,1000,0.999000,0.000000,0.003280
2.000000,0.385354,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,998,1000,0.998000,0.000000,0.006560
3.000000,0.367930,1000,1000,1.000000,999,1000,0.999000,977,999,0.977000,959,977,0.959000,0.000000,0.134480
4.000000,0.333473,1000,1000,1.000000,953,1000,0.953000,819,953,0.819000,724,819,0.724000,0.000000,0.905280
5.000000,0.338323,998,1000,0.998000,927,998,0.927000,713,927,0.713000,601,713,0.601000,0.006560,1.308720
6.000000,0.284232,971,1000,0.971000,806,971,0.806000,494,806,0.494000,329,494,0.329000,0.095120,2.200880
7.000000,0.192549,764,1000,0.764000,397,764,0.397000,197,397,0.197000,125,197,0.125000,0.774080,2.870000
8.000000,0.082552,366,1000,0.366000,93,366,0.093000,28,93,0.028000,12,28,0.012000,2.079520,3.240640
9.000000,0.040744,201,1000,0.201000,34,201,0.034000,5,34,0.005000,0,5,0.000000,2.620720,3.280000
10.000000,0.019329,90,1000,0.090000,18,90,0.018000,5,18,0.005000,1,5,0.001000,2.984800,3.276720
11.000000,0.005720,29,1000,0.029000,3,29,0.003000,2,3,0.002000,1,2,0.001000,3.184880,3.276720
12.000000,0.003409,17,1000,0.017000,3,17,0.003000,1,3,0.001000,0,1,0.000000,3.224240,3.280000
13.000000,0.000418,4,1000,0.004000,0,4,0.000000,0,0,0.000000,0,0,0.000000,3.266880,3.280000
