 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-3.000000,0.411489,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-2.000000,0.402687,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,999,1000,0.999000,0.000000,0.001760
-1.000000,0.382483,1000,1000,1.000000,999,1000,0.999000,990,999,0.990000,980,990,0.980000,0.000000,0.035200
0.000000,0.367994,1000,1000,1.000000,996,1000,0.996000,960,996,0.960000,904,960,0.904000,0.000000,0.168960
1.000000,0.339636,996,1000,0.996000,946,996,0.946000,841,946,0.841000,691,841,0.691000,0.007040,0.543840
2.000000,0.295176,945,1000,0.945000,740,945,0.740000,545,740,0.545000,347,545,0.347000,0.096800,1.149280
3.000000,0.228932,815,1000,0.815000,524,815,0.524000,325,524,0.325000,126,325,0.126000,0.325600,1.538240
4.000000,0.174301,655,1000,0.655000,356,655,0.356000,154,356,0.154000,51,154,0.051000,0.607200,1.670240
5.000000,0.101000,410,1000,0.410000,170,410,0.170000,36,170,0.036000,8,36,0.008000,1.038400,1.745920
6.000000,0.057250,250,1000,0.250000,76,250,0.076000,14,76,0.014000,2,14,0.002000,1.320000,1.756480
7.000000,0.029966,136,1000,0.136000,30,136,0.030000,2,30,0.002000,0,2,0.000000,1.520640,1.760000
8.000000,0.017386,87,1000,0.087000,13,87,0.013000,1,13,0.001000,0,1,0.000000,1.606880,1.760000
9.000000,0.006000,33,1000,0.033000,2,33,0.002000,0,2,0.000000,0,0,0.000000,1.701920,1.760000
10.000000,0.001148,9,1000,0.009000,0,9,0.000000,0,0,0.000000,0,0,0.000000,1.744160,1.760000
