 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-3.000000,0.398757,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-2.000000,0.383590,1000,1000,1.000000,1000,1000,1.000000,998,1000,0.998000,991,998,0.991000,0.000000,0.012960
-1.000000,0.368188,1000,1000,1.000000,994,1000,0.994000,977,994,0.977000,945,977,0.945000,0.000000,0.079200
0.000000,0.340319,999,1000,0.999000,957,999,0.957000,882,957,0.882000,760,882,0.760000,0.001440,0.345600
1.000000,0.305403,973,1000,0.973000,836,973,0.836000,683,836,0.683000,453,683,0.453000,0.038880,0.787680
2.000000,0.244257,858,1000,0.858000,632,858,0.632000,398,632,0.398000,168,398,0.168000,0.204480,1.198080
3.000000,0.186194,690,1000,0.690000,404,690,0.404000,200,404,0.200000,74,200,0.074000,0.446400,1.333440
4.000000,0.109507,450,1000,0.450000,196,450,0.196000,57,196,0.057000,12,57,0.012000,0.792000,1.422720
5.000000,0.076625,329,1000,0.329000,108,329,0.108000,11,108,0.011000,2,11,0.002000,0.966240,1.437120
6.000000,0.037153,180,1000,0.180000,33,180,0.033000,0,33,0.000000,0,0,0.000000,1.180800,1.440000
7.000000,0.018174,99,1000,0.099000,23,99,0.023000,2,23,0.002000,0,2,0.000000,1.297440,1.440000
8.000000,0.008549,53,1000,0.053000,4,53,0.004000,1,4,0.001000,0,1,0.000000,1.363680,1.440000
9.000000,0.004146,23,1000,0.023000,2,23,0.002000,0,2,0.000000,0,0,0.000000,1.406880,1.440000
10.000000,0.000674,6,1000,0.006000,0,6,0.000000,0,0,0.000000,0,0,0.000000,1.431360,1.440000
