 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-6.000000,0.402594,1000,1000,1.000000,1000,1000,1.000000,996,1000,0.996000,992,996,0.992000,0.000000,0.002560
-5.000000,0.387000,999,1000,0.999000,993,999,0.993000,965,993,0.965000,912,965,0.912000,0.000320,0.028160
-4.000000,0.364125,993,1000,0.993000,968,993,0.968000,872,968,0.872000,735,872,0.735000,0.002240,0.084800
-3.000000,0.340062,969,1000,0.969000,875,969,0.875000,685,875,0.685000,504,685,0.504000,0.009920,0.158720
-2.000000,0.298000,933,1000,0.933000,724,933,0.724000,492,724,0.492000,309,492,0.309000,0.021440,0.221120
-1.000000,0.245875,803,1000,0.803000,496,803,0.496000,252,496,0.252000,133,252,0.133000,0.063040,0.277440
0.000000,0.188219,647,1000,0.647000,301,647,0.301000,107,301,0.107000,54,107,0.054000,0.112960,0.302720
1.000000,0.130906,491,1000,0.491000,122,491,0.122000,26,122,0.026000,6,26,0.006000,0.162880,0.318080
2.000000,0.087188,327,1000,0.327000,66,327,0.066000,12,66,0.012000,5,12,0.005000,0.215360,0.318400
3.000000,0.052031,209,1000,0.209000,16,209,0.016000,2,16,0.002000,0,2,0.000000,0.253120,0.320000
4.000000,0.023969,115,1000,0.115000,8,115,0.008000,3,8,0.003000,0,3,0.000000,0.283200,0.320000
5.000000,0.009656,52,1000,0.052000,2,52,0.002000,0,2,0.000000,0,0,0.000000,0.303360,0.320000
6.000000,0.005281,22,1000,0.022000,0,22,0.000000,0,0,0.000000,0,0,0.000000,0.312960,0.320000
7.000000,0.001938,9,1000,0.009000,0,9,0.000000,0,0,0.000000,0,0,0.000000,0.317120,0.320000
