 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-5.000000,0.415694,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-4.000000,0.402917,1000,1000,1.000000,1000,1000,1.000000,998,1000,0.998000,988,998,0.988000,0.000000,0.008640
-3.000000,0.387167,1000,1000,1.000000,996,1000,0.996000,986,996,0.986000,943,986,0.943000,0.000000,0.041040
-2.000000,0.368167,998,1000,0.998000,970,998,0.970000,910,970,0.910000,798,910,0.798000,0.001440,0.145440
-1.000000,0.329458,968,1000,0.968000,859,968,0.859000,696,859,0.696000,515,696,0.515000,0.023040,0.349200
0.000000,0.284194,883,1000,0.883000,650,883,0.650000,408,650,0.408000,197,408,0.197000,0.084240,0.578160
1.000000,0.242917,791,1000,0.791000,512,791,0.512000,227,512,0.227000,87,227,0.087000,0.150480,0.657360
2.000000,0.164111,578,1000,0.578000,260,578,0.260000,71,260,0.071000,15,71,0.015000,0.303840,0.709200
3.000000,0.107472,398,1000,0.398000,118,398,0.118000,18,118,0.018000,4,18,0.004000,0.433440,0.717120
4.000000,0.068333,267,1000,0.267000,47,267,0.047000,6,47,0.006000,1,6,0.001000,0.527760,0.719280
5.000000,0.049250,187,1000,0.187000,26,187,0.026000,0,26,0.000000,0,0,0.000000,0.585360,0.720000
6.000000,0.023333,101,1000,0.101000,2,101,0.002000,0,2,0.000000,0,0,0.000000,0.647280,0.720000
7.000000,0.012014,52,1000,0.052000,1,52,0.001000,0,1,0.000000,0,0,0.000000,0.682560,0.720000
8.000000,0.003250,16,1000,0.016000,1,16,0.001000,0,1,0.000000,0,0,0.000000,0.708480,0.720000
9.000000,0.001194,4,1000,0.004000,1,4,0.001000,0,1,0.000000,0,0,0.000000,0.717120,0.720000
