 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-4.000000,0.225476,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-3.000000,0.220407,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-2.000000,0.217929,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-1.000000,0.208468,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
0.000000,0.203335,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
1.000000,0.199169,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
2.000000,0.189566,502,502,1.000000,502,502,1.000000,502,502,1.000000,471,502,0.938247,0.000000,0.390279
3.000000,0.185937,502,502,1.000000,502,502,1.000000,502,502,1.000000,469,502,0.934263,0.000000,0.415458
4.000000,0.182242,502,502,1.000000,502,502,1.000000,470,502,0.936255,26,470,0.051793,0.000000,5.992669
5.000000,0.174415,502,502,1.000000,502,502,1.000000,65,502,0.129482,0,65,0.000000,0.000000,6.320000
6.000000,0.157582,502,502,1.000000,502,502,1.000000,0,502,0.000000,0,0,0.000000,0.000000,6.320000
7.000000,0.150199,502,502,1.000000,497,502,0.990040,0,497,0.000000,0,0,0.000000,0.000000,6.320000
8.000000,0.131139,502,502,1.000000,336,502,0.669323,0,336,0.000000,0,0,0.000000,0.000000,6.320000
9.000000,0.135636,502,502,1.000000,315,502,0.627490,0,315,0.000000,0,0,0.000000,0.000000,6.320000
10.000000,0.108703,486,502,0.968127,22,486,0.043825,0,22,0.000000,0,0,0.000000,0.201434,6.320000
11.000000,0.078791,411,502,0.818725,1,411,0.001992,0,1,0.000000,0,0,0.000000,1.145657,6.320000
12.000000,0.009699,100,897,0.111483,0,100,0.000000,0,0,0.000000,0,0,0.000000,5.615429,6.320000
13.000000,0.001345,21,1000,0.021000,0,21,0.000000,0,0,0.000000,0,0,0.000000,6.187280,6.320000
14.000000,0.000000,0,1000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,6.320000,6.320000
