 SNR, Ber, Bler
-10.000000,0.457756,1.000000
-9.000000,0.449096,1.000000
-8.000000,0.436522,1.000000
-7.000000,0.421098,0.999960
-6.000000,0.401079,1.000000
-5.000000,0.381211,0.999320
-4.000000,0.369482,0.996480
-3.000000,0.342389,0.974080
-2.000000,0.298659,0.916840
-1.000000,0.243173,0.788320
0.000000,0.186250,0.635800
1.000000,0.132726,0.481000
2.000000,0.083090,0.317520
3.000000,0.048899,0.210560
4.000000,0.029425,0.125720
5.000000,0.014725,0.064440
6.000000,0.005383,0.027280
7.000000,0.002071,0.010360
8.000000,0.000956,0.004960
9.000000,0.000199,0.001120
10.000000,0.000035,0.000160
11.000000,0.000001,0.000040
12.000000,0.000000,0.000000
