 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-9.000000,0.221382,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-8.000000,0.218166,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-7.000000,0.206372,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-6.000000,0.201226,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-5.000000,0.189017,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-4.000000,0.180892,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-3.000000,0.168149,502,502,1.000000,502,502,1.000000,502,502,1.000000,499,502,0.994024,0.000000,0.017689
-2.000000,0.159510,502,502,1.000000,502,502,1.000000,498,502,0.992032,329,498,0.655378,0.000000,1.020080
-1.000000,0.138642,502,502,1.000000,499,502,0.994024,146,499,0.290837,0,146,0.000000,0.000000,2.960000
0.000000,0.125405,502,502,1.000000,427,502,0.850598,3,427,0.005976,0,3,0.000000,0.000000,2.960000
1.000000,0.115159,502,502,1.000000,237,502,0.472112,0,237,0.000000,0,0,0.000000,0.000000,2.960000
2.000000,0.087355,491,502,0.978088,4,491,0.007968,0,4,0.000000,0,0,0.000000,0.064861,2.960000
3.000000,0.036000,278,502,0.553785,0,278,0.000000,0,0,0.000000,0,0,0.000000,1.320797,2.960000
4.000000,0.001983,23,1000,0.023000,0,23,0.000000,0,0,0.000000,0,0,0.000000,2.891920,2.960000
5.000000,0.000000,0,1000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,2.960000,2.960000
