 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-12.000000,0.232298,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-11.000000,0.228029,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-10.000000,0.218615,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-9.000000,0.213798,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-8.000000,0.205894,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-7.000000,0.197654,502,502,1.000000,502,502,1.000000,502,502,1.000000,501,502,0.998008,0.000000,0.002072
-6.000000,0.187885,502,502,1.000000,502,502,1.000000,501,502,0.998008,478,501,0.952191,0.000000,0.049721
-5.000000,0.172327,502,502,1.000000,502,502,1.000000,448,502,0.892430,245,448,0.488048,0.000000,0.532430
-4.000000,0.159173,502,502,1.000000,486,502,0.968127,206,486,0.410359,16,206,0.031873,0.000000,1.006853
-3.000000,0.136808,500,502,0.996016,205,500,0.408367,11,205,0.021912,0,11,0.000000,0.004143,1.040000
-2.000000,0.127221,491,502,0.978088,121,491,0.241036,1,121,0.001992,0,1,0.000000,0.022789,1.040000
-1.000000,0.052115,290,502,0.577689,1,290,0.001992,0,1,0.000000,0,0,0.000000,0.439203,1.040000
0.000000,0.014163,100,909,0.110011,0,100,0.000000,0,0,0.000000,0,0,0.000000,0.925589,1.040000
1.000000,0.000154,2,1000,0.002000,0,2,0.000000,0,0,0.000000,0,0,0.000000,1.037920,1.040000
