 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-14.000000,0.235411,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-13.000000,0.231446,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-12.000000,0.228536,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-11.000000,0.222357,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-10.000000,0.214679,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-9.000000,0.211750,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-8.000000,0.204179,502,502,1.000000,502,502,1.000000,502,502,1.000000,501,502,0.998008,0.000000,0.001116
-7.000000,0.193054,502,502,1.000000,502,502,1.000000,496,502,0.988048,460,496,0.916335,0.000000,0.046853
-6.000000,0.177089,502,502,1.000000,488,502,0.972112,344,488,0.685259,141,344,0.280876,0.000000,0.402709
-5.000000,0.163411,502,502,1.000000,394,502,0.784861,153,394,0.304781,18,153,0.035857,0.000000,0.539920
-4.000000,0.137429,485,502,0.966135,162,485,0.322709,8,162,0.015936,0,8,0.000000,0.018964,0.560000
-3.000000,0.084446,357,502,0.711155,8,357,0.015936,0,8,0.000000,0,0,0.000000,0.161753,0.560000
-2.000000,0.033768,171,502,0.340637,0,171,0.000000,0,0,0.000000,0,0,0.000000,0.369243,0.560000
-1.000000,0.007536,47,1000,0.047000,0,47,0.000000,0,0,0.000000,0,0,0.000000,0.533680,0.560000
0.000000,0.000250,2,1000,0.002000,0,2,0.000000,0,0,0.000000,0,0,0.000000,0.558880,0.560000
