 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-7.000000,0.232468,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-6.000000,0.226816,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-5.000000,0.221229,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-4.000000,0.216130,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-3.000000,0.209186,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-2.000000,0.201559,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-1.000000,0.190545,502,502,1.000000,502,502,1.000000,502,502,1.000000,489,502,0.974104,0.000000,0.097371
0.000000,0.186218,502,502,1.000000,502,502,1.000000,501,502,0.998008,457,501,0.910359,0.000000,0.337052
1.000000,0.182324,502,502,1.000000,502,502,1.000000,241,502,0.480080,0,241,0.000000,0.000000,3.760000
2.000000,0.163934,502,502,1.000000,443,502,0.882470,2,443,0.003984,0,2,0.000000,0.000000,3.760000
3.000000,0.137191,502,502,1.000000,53,502,0.105578,0,53,0.000000,0,0,0.000000,0.000000,3.760000
4.000000,0.099564,445,502,0.886454,0,445,0.000000,0,0,0.000000,0,0,0.000000,0.426932,3.760000
5.000000,0.098976,442,502,0.880478,0,442,0.000000,0,0,0.000000,0,0,0.000000,0.449402,3.760000
6.000000,0.013596,100,508,0.196850,0,100,0.000000,0,0,0.000000,0,0,0.000000,3.019843,3.760000
7.000000,0.000008,1,1000,0.001000,0,1,0.000000,0,0,0.000000,0,0,0.000000,3.756240,3.760000
