 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-7.000000,0.231305,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-6.000000,0.223857,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-5.000000,0.216750,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-4.000000,0.213893,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-3.000000,0.205659,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-2.000000,0.190052,502,502,1.000000,502,502,1.000000,502,502,1.000000,502,502,1.000000,0.000000,0.000000
-1.000000,0.184003,502,502,1.000000,502,502,1.000000,502,502,1.000000,483,502,0.962151,0.000000,0.124143
0.000000,0.167107,502,502,1.000000,498,502,0.992032,237,498,0.472112,25,237,0.049801,0.000000,3.116653
1.000000,0.147180,502,502,1.000000,389,502,0.774900,3,389,0.005976,0,3,0.000000,0.000000,3.280000
2.000000,0.166918,502,502,1.000000,502,502,1.000000,71,502,0.141434,0,71,0.000000,0.000000,3.280000
3.000000,0.138433,501,502,0.998008,120,501,0.239044,0,120,0.000000,0,0,0.000000,0.006534,3.280000
4.000000,0.125994,501,502,0.998008,28,501,0.055777,0,28,0.000000,0,0,0.000000,0.006534,3.280000
5.000000,0.011762,91,1000,0.091000,0,91,0.000000,0,0,0.000000,0,0,0.000000,2.981520,3.280000
6.000000,0.000466,3,1000,0.003000,0,3,0.000000,0,0,0.000000,0,0,0.000000,3.270160,3.280000
