n=0, 0 0 0 1 0 1 1 0 
n=8, 0 1 1 0 1 1 0 0 
n=16, 0 0 1 0 1 1 1 0 
n=24, 0 1 0 0 1 1 0 0 
n=32, 0 0 0 0 1 1 1 0 
n=40, 0 1 1 1 1 1 0 0 
n=48, 0 0 1 1 1 1 1 0 
n=56, 0 1 0 1 1 1 0 0 
n=64, 0 0 0 1 1 1 1 0 
n=72, 0 1 1 0 0 1 0 0 
n=80, 0 0 1 0 0 1 1 0 
n=88, 0 1 0 0 0 1 0 0 
n=96, 0 0 0 0 0 1 1 0 
n=104, 0 1 1 1 0 0 0 0 
n=112, 0 0 1 1 0 0 1 0 
n=120, 0 1 0 1 0 0 0 0 
n=128, 0 0 0 1 0 0 1 0 
n=136, 0 1 1 0 1 0 0 0 
n=144, 0 0 1 0 1 0 1 0 
n=152, 0 1 0 0 1 0 0 0 
n=160, 0 0 0 0 1 0 1 0 
n=168, 0 1 1 1 1 0 0 0 
n=176, 0 0 1 1 1 0 1 0 
n=184, 0 1 0 1 1 0 0 0 
n=192, 0 0 0 1 1 0 1 0 
n=200, 0 1 1 0 0 0 1 0 
n=208, 0 0 1 0 0 0 0 0 
n=216, 0 1 0 0 0 0 1 0 
n=224, 0 0 0 0 0 0 0 0 
n=232, 0 1 1 1 0 1 1 0 
n=240, 0 0 1 1 0 1 0 0 
n=248, 0 1 0 1 0 1 1 0 
n=256, 0 0 0 1 0 1 0 0 
n=264, 0 1 1 0 1 1 1 0 
n=272, 0 0 1 0 1 1 0 0 
n=280, 0 1 0 0 1 1 1 0 
n=288, 0 0 0 0 1 1 0 1 
n=296, 0 1 1 1 1 1 1 0 
n=304, 0 0 1 1 1 1 0 0 
n=312, 0 1 0 1 1 1 1 0 
n=320, 0 0 0 1 1 1 0 0 
n=328, 0 1 1 0 0 1 1 0 
n=336, 0 0 1 0 0 1 0 0 
n=344, 0 1 0 0 0 1 1 0 
n=352, 0 0 0 0 0 1 0 0 
n=360, 0 1 1 1 0 0 1 0 
n=368, 0 0 1 1 0 0 0 0 
n=376, 0 1 0 1 0 0 1 0 
n=384, 0 0 0 1 0 0 0 0 
n=392, 0 1 1 0 1 0 1 0 
n=400, 0 0 1 0 1 0 0 0 
n=408, 0 1 0 0 1 0 1 0 
n=416, 0 0 0 0 1 0 0 0 
n=424, 0 1 1 1 1 0 1 0 
n=432, 0 0 1 1 1 0 0 0 
n=440, 0 1 0 1 1 0 1 0 
n=448, 0 0 0 1 1 0 0 0 
n=456, 0 1 1 0 0 0 0 0 
n=464, 0 0 1 0 0 0 1 0 
n=472, 0 1 0 0 0 0 0 0 
n=480, 0 0 0 0 0 0 1 0 
n=488, 0 1 1 1 0 1 0 0 
n=496, 0 0 1 1 0 1 1 0 
n=504, 0 1 0 1 0 1 0 0 
