 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
4.000000,0.399930,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,0.000000,0.000000
5.000000,0.373251,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,9980,10000,0.998000,0.000000,0.013920
6.000000,0.373096,10000,10000,1.000000,10000,10000,1.000000,9993,10000,0.999300,9934,9993,0.993400,0.000000,0.045936
7.000000,0.364589,10000,10000,1.000000,10000,10000,1.000000,9871,10000,0.987100,9406,9871,0.940600,0.000000,0.413424
8.000000,0.320524,10000,10000,1.000000,9992,10000,0.999200,7488,9992,0.748800,5834,7488,0.583400,0.000000,2.899536
9.000000,0.289984,9998,10000,0.999800,9076,9998,0.907600,1650,9076,0.165000,677,1650,0.067700,0.001392,6.488808
10.000000,0.299626,10000,10000,1.000000,9564,10000,0.956400,1819,9564,0.181900,707,1819,0.070700,0.000000,6.467928
11.000000,0.269759,9993,10000,0.999300,8543,9993,0.854300,529,8543,0.052900,142,529,0.014200,0.004872,6.861168
12.000000,0.147100,7454,10000,0.745400,1148,7454,0.114800,15,1148,0.001500,3,15,0.000300,1.772016,6.957912
13.000000,0.145165,7277,10000,0.727700,969,7277,0.096900,12,969,0.001200,0,12,0.000000,1.895208,6.960000
14.000000,0.029698,1844,10000,0.184400,44,1844,0.004400,0,44,0.000000,0,0,0.000000,5.676576,6.960000
15.000000,0.017858,1132,10000,0.113200,24,1132,0.002400,0,24,0.000000,0,0,0.000000,6.172128,6.960000
16.000000,0.001427,99,10000,0.009900,0,99,0.000000,0,0,0.000000,0,0,0.000000,6.891096,6.960000
17.000000,0.001316,90,10000,0.009000,0,90,0.000000,0,0,0.000000,0,0,0.000000,6.897360,6.960000
18.000000,0.000042,3,10000,0.000300,0,3,0.000000,0,0,0.000000,0,0,0.000000,6.957912,6.960000
19.000000,0.000000,0,10000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,6.960000,6.960000
