 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-3.000000,0.374413,10000,10000,1.000000,10000,10000,1.000000,9989,10000,0.998900,9969,9989,0.996900,0.000000,0.003720
-2.000000,0.354409,10000,10000,1.000000,9987,10000,0.998700,9921,9987,0.992100,9708,9921,0.970800,0.000000,0.035040
-1.000000,0.332053,9993,10000,0.999300,9789,9993,0.978900,9263,9789,0.926300,8445,9263,0.844500,0.000840,0.186600
0.000000,0.308741,9889,10000,0.988900,9098,9889,0.909800,7878,9098,0.787800,6163,7878,0.616300,0.013320,0.460440
1.000000,0.263547,9333,10000,0.933300,7511,9333,0.751100,5475,7511,0.547500,3233,5475,0.323300,0.080040,0.812040
2.000000,0.210001,8083,10000,0.808300,5462,8083,0.546200,2939,5462,0.293900,1083,2939,0.108300,0.230040,1.070040
3.000000,0.144041,6040,10000,0.604000,3138,6040,0.313800,1093,3138,0.109300,246,1093,0.024600,0.475200,1.170480
4.000000,0.102660,4642,10000,0.464200,1852,4642,0.185200,395,1852,0.039500,58,395,0.005800,0.642960,1.193040
5.000000,0.056161,2713,10000,0.271300,740,2713,0.074000,70,740,0.007000,6,70,0.000600,0.874440,1.199280
6.000000,0.035411,1764,10000,0.176400,351,1764,0.035100,35,351,0.003500,2,35,0.000200,0.988320,1.199760
7.000000,0.018989,1031,10000,0.103100,98,1031,0.009800,9,98,0.000900,1,9,0.000100,1.076280,1.199880
8.000000,0.007323,467,10000,0.046700,24,467,0.002400,1,24,0.000100,0,1,0.000000,1.143960,1.200000
9.000000,0.002012,130,10000,0.013000,6,130,0.000600,0,6,0.000000,0,0,0.000000,1.184400,1.200000
10.000000,0.000847,64,10000,0.006400,5,64,0.000500,0,5,0.000000,0,0,0.000000,1.192320,1.200000
11.000000,0.000097,9,10000,0.000900,1,9,0.000100,1,1,0.000100,0,1,0.000000,1.198920,1.200000
12.000000,0.000045,5,10000,0.000500,0,5,0.000000,0,0,0.000000,0,0,0.000000,1.199400,1.200000
13.000000,0.000005,1,10000,0.000100,0,1,0.000000,0,0,0.000000,0,0,0.000000,1.199880,1.200000
14.000000,0.000000,0,10000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,1.200000,1.200000
