 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-2.000000,0.379660,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,0.000000,0.000000
-1.000000,0.367721,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,9999,10000,0.999900,0.000000,0.000256
0.000000,0.347766,10000,10000,1.000000,10000,10000,1.000000,9977,10000,0.997700,9911,9977,0.991100,0.000000,0.022784
1.000000,0.325290,10000,10000,1.000000,9977,10000,0.997700,9720,9977,0.972000,9308,9720,0.930800,0.000000,0.177152
2.000000,0.298069,9998,10000,0.999800,9687,9998,0.968700,8545,9687,0.854500,7162,8545,0.716200,0.000512,0.726528
3.000000,0.265565,9899,10000,0.989900,8489,9899,0.848900,6333,8489,0.633300,4373,6333,0.437300,0.025856,1.440512
4.000000,0.222195,9247,10000,0.924700,6336,9247,0.633600,3734,6336,0.373400,1865,3734,0.186500,0.192768,2.082560
5.000000,0.157828,7380,10000,0.738000,3772,7380,0.377200,1604,3772,0.160400,466,1604,0.046600,0.670720,2.440704
6.000000,0.100235,5074,10000,0.507400,2049,5074,0.204900,579,2049,0.057900,103,579,0.010300,1.261056,2.533632
7.000000,0.055779,3067,10000,0.306700,943,3067,0.094300,181,943,0.018100,18,181,0.001800,1.774848,2.555392
8.000000,0.023376,1481,10000,0.148100,354,1481,0.035400,26,354,0.002600,1,26,0.000100,2.180864,2.559744
9.000000,0.010789,749,10000,0.074900,140,749,0.014000,15,140,0.001500,1,15,0.000100,2.368256,2.559744
10.000000,0.003047,224,10000,0.022400,32,224,0.003200,2,32,0.000200,1,2,0.000100,2.502656,2.559744
11.000000,0.001116,88,10000,0.008800,8,88,0.000800,0,8,0.000000,0,0,0.000000,2.537472,2.560000
12.000000,0.000148,13,10000,0.001300,2,13,0.000200,0,2,0.000000,0,0,0.000000,2.556672,2.560000
13.000000,0.000008,1,10000,0.000100,0,1,0.000000,0,0,0.000000,0,0,0.000000,2.559744,2.560000
14.000000,0.000000,0,10000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,2.560000,2.560000
