 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-5.000000,0.413300,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,9994,10000,0.999400,0.000000,0.000432
-4.000000,0.398281,10000,10000,1.000000,9995,10000,0.999500,9969,9995,0.996900,9860,9969,0.986000,0.000000,0.010080
-3.000000,0.382568,9997,10000,0.999700,9933,9997,0.993300,9748,9933,0.974800,9221,9748,0.922100,0.000216,0.056088
-2.000000,0.371068,9975,10000,0.997500,9730,9975,0.973000,9132,9730,0.913200,8017,9132,0.801700,0.001800,0.142776
-1.000000,0.328376,9634,10000,0.963400,8520,9634,0.852000,6862,8520,0.686200,4875,6862,0.487500,0.026352,0.369000
0.000000,0.294708,9052,10000,0.905200,7090,9052,0.709000,4458,7090,0.445800,2302,4458,0.230200,0.068256,0.554256
1.000000,0.230649,7685,10000,0.768500,4858,7685,0.485800,2168,4858,0.216800,748,2168,0.074800,0.166680,0.666144
2.000000,0.159374,5578,10000,0.557800,2473,5578,0.247300,645,2473,0.064500,164,645,0.016400,0.318384,0.708192
3.000000,0.113760,4154,10000,0.415400,1285,4154,0.128500,204,1285,0.020400,34,204,0.003400,0.420912,0.717552
4.000000,0.077040,2928,10000,0.292800,557,2928,0.055700,44,557,0.004400,2,44,0.000200,0.509184,0.719856
5.000000,0.044558,1879,10000,0.187900,209,1879,0.020900,10,209,0.001000,2,10,0.000200,0.584712,0.719856
6.000000,0.022692,974,10000,0.097400,45,974,0.004500,1,45,0.000100,0,1,0.000000,0.649872,0.720000
7.000000,0.009104,409,10000,0.040900,12,409,0.001200,0,12,0.000000,0,0,0.000000,0.690552,0.720000
8.000000,0.004336,214,10000,0.021400,7,214,0.000700,0,7,0.000000,0,0,0.000000,0.704592,0.720000
9.000000,0.001196,71,10000,0.007100,1,71,0.000100,0,1,0.000000,0,0,0.000000,0.714888,0.720000
10.000000,0.000399,22,10000,0.002200,0,22,0.000000,0,0,0.000000,0,0,0.000000,0.718416,0.720000
11.000000,0.000071,8,10000,0.000800,0,8,0.000000,0,0,0.000000,0,0,0.000000,0.719424,0.720000
12.000000,0.000022,1,10000,0.000100,0,1,0.000000,0,0,0.000000,0,0,0.000000,0.719928,0.720000
13.000000,0.000031,1,10000,0.000100,0,1,0.000000,0,0,0.000000,0,0,0.000000,0.719928,0.720000
14.000000,0.000000,0,10000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0.720000,0.720000
