 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
3.000000,0.341984,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,9999,10000,0.999900,0.000000,0.000600
4.000000,0.349114,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,0.000000,0.000000
5.000000,0.319951,10000,10000,1.000000,10000,10000,1.000000,9869,10000,0.986900,9372,9869,0.937200,0.000000,0.376800
6.000000,0.306610,10000,10000,1.000000,10000,10000,1.000000,9228,10000,0.922800,8228,9228,0.822800,0.000000,1.063200
7.000000,0.281644,10000,10000,1.000000,9912,10000,0.991200,6086,9912,0.608600,3894,6086,0.389400,0.000000,3.663600
8.000000,0.258519,10000,10000,1.000000,9455,10000,0.945500,4195,9455,0.419500,2476,4195,0.247600,0.000000,4.514400
9.000000,0.225982,9983,10000,0.998300,7293,9983,0.729300,2313,7293,0.231300,1255,2313,0.125500,0.010200,5.247000
10.000000,0.184491,9333,10000,0.933300,3993,9333,0.399300,490,3993,0.049000,183,490,0.018300,0.400200,5.890200
11.000000,0.129742,7552,10000,0.755200,1529,7552,0.152900,132,1529,0.013200,40,132,0.004000,1.468800,5.976000
12.000000,0.011462,839,10000,0.083900,22,839,0.002200,0,22,0.000000,0,0,0.000000,5.496600,6.000000
13.000000,0.013277,967,10000,0.096700,24,967,0.002400,0,24,0.000000,0,0,0.000000,5.419800,6.000000
14.000000,0.002264,194,10000,0.019400,4,194,0.000400,0,4,0.000000,0,0,0.000000,5.883600,6.000000
15.000000,0.002762,225,10000,0.022500,4,225,0.000400,0,4,0.000000,0,0,0.000000,5.865000,6.000000
16.000000,0.000156,14,10000,0.001400,0,14,0.000000,0,0,0.000000,0,0,0.000000,5.991600,6.000000
17.000000,0.000000,0,10000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,6.000000,6.000000
