 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-2.000000,0.387265,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,0.000000,0.000000
-1.000000,0.373046,10000,10000,1.000000,10000,10000,1.000000,9996,10000,0.999600,9980,9996,0.998000,0.000000,0.004480
0.000000,0.353117,10000,10000,1.000000,9995,10000,0.999500,9899,9995,0.989900,9685,9899,0.968500,0.000000,0.070560
1.000000,0.334366,10000,10000,1.000000,9906,10000,0.990600,9339,9906,0.933900,8536,9339,0.853600,0.000000,0.327936
2.000000,0.299592,9965,10000,0.996500,9098,9965,0.909800,7503,9098,0.750300,5837,7503,0.583700,0.007840,0.932512
3.000000,0.254555,9436,10000,0.943600,7174,9436,0.717400,4865,7174,0.486500,2859,4865,0.285900,0.126336,1.599584
4.000000,0.192463,7973,10000,0.797300,4714,7973,0.471400,2422,4714,0.242200,961,2422,0.096100,0.454048,2.024736
5.000000,0.145021,6469,10000,0.646900,3136,6469,0.313600,1117,3136,0.111700,275,1117,0.027500,0.790944,2.178400
6.000000,0.084328,4007,10000,0.400700,1507,4007,0.150700,352,1507,0.035200,44,352,0.004400,1.342432,2.230144
7.000000,0.040815,2125,10000,0.212500,584,2125,0.058400,83,584,0.008300,5,83,0.000500,1.764000,2.238880
8.000000,0.021459,1189,10000,0.118900,260,1189,0.026000,14,260,0.001400,3,14,0.000300,1.973664,2.239328
9.000000,0.008565,504,10000,0.050400,84,504,0.008400,1,84,0.000100,0,1,0.000000,2.127104,2.240000
10.000000,0.002888,195,10000,0.019500,28,195,0.002800,3,28,0.000300,1,3,0.000100,2.196320,2.239776
11.000000,0.000363,30,10000,0.003000,1,30,0.000100,0,1,0.000000,0,0,0.000000,2.233280,2.240000
12.000000,0.000100,10,10000,0.001000,0,10,0.000000,0,0,0.000000,0,0,0.000000,2.237760,2.240000
13.000000,0.000031,2,10000,0.000200,0,2,0.000000,0,0,0.000000,0,0,0.000000,2.239552,2.240000
14.000000,0.000026,1,10000,0.000100,0,1,0.000000,0,0,0.000000,0,0,0.000000,2.239776,2.240000
15.000000,0.000000,0,10000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,2.240000,2.240000
