 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-3.000000,0.375514,10000,10000,1.000000,9998,10000,0.999800,9985,9998,0.998500,9927,9985,0.992700,0.000000,0.007592
-2.000000,0.359178,10000,10000,1.000000,9956,10000,0.995600,9825,9956,0.982500,9503,9825,0.950300,0.000000,0.051688
-1.000000,0.338496,9984,10000,0.998400,9759,9984,0.975900,9165,9759,0.916500,8077,9165,0.807700,0.001664,0.199992
0.000000,0.297211,9745,10000,0.974500,8630,9745,0.863000,7023,8630,0.702300,5008,7023,0.500800,0.026520,0.519168
1.000000,0.250267,8910,10000,0.891000,6713,8910,0.671300,4454,6713,0.445400,2400,4454,0.240000,0.113360,0.790400
2.000000,0.184433,7219,10000,0.721900,4318,7219,0.431800,1948,4318,0.194800,609,1948,0.060900,0.289224,0.976664
3.000000,0.141651,5744,10000,0.574400,2796,5744,0.279600,814,2796,0.081400,187,814,0.018700,0.442624,1.020552
4.000000,0.088414,3852,10000,0.385200,1347,3852,0.134700,172,1347,0.017200,27,172,0.002700,0.639392,1.037192
5.000000,0.049713,2384,10000,0.238400,503,2384,0.050300,40,503,0.004000,3,40,0.000300,0.792064,1.039688
6.000000,0.032109,1586,10000,0.158600,214,1586,0.021400,11,214,0.001100,1,11,0.000100,0.875056,1.039896
7.000000,0.014429,806,10000,0.080600,70,806,0.007000,1,70,0.000100,0,1,0.000000,0.956176,1.040000
8.000000,0.006161,349,10000,0.034900,11,349,0.001100,1,11,0.000100,0,1,0.000000,1.003704,1.040000
9.000000,0.002028,136,10000,0.013600,4,136,0.000400,1,4,0.000100,0,1,0.000000,1.025856,1.040000
10.000000,0.000630,46,10000,0.004600,2,46,0.000200,0,2,0.000000,0,0,0.000000,1.035216,1.040000
11.000000,0.000227,14,10000,0.001400,2,14,0.000200,1,2,0.000100,0,1,0.000000,1.038544,1.040000
12.000000,0.000003,1,10000,0.000100,0,1,0.000000,0,0,0.000000,0,0,0.000000,1.039896,1.040000
13.000000,0.000000,0,10000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,1.040000,1.040000
