 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
6.000000,0.341313,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,9992,10000,0.999200,0.000000,0.007232
7.000000,0.341090,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,9996,10000,0.999600,0.000000,0.003616
8.000000,0.314592,10000,10000,1.000000,10000,10000,1.000000,9909,10000,0.990900,9436,9909,0.943600,0.000000,0.509856
9.000000,0.314329,10000,10000,1.000000,10000,10000,1.000000,9111,10000,0.911100,7031,9111,0.703100,0.000000,2.683976
10.000000,0.280199,10000,10000,1.000000,10000,10000,1.000000,5975,10000,0.597500,3345,5975,0.334500,0.000000,6.016120
11.000000,0.272324,10000,10000,1.000000,9998,10000,0.999800,2536,9998,0.253600,824,2536,0.082400,0.000000,8.295104
12.000000,0.210690,9971,10000,0.997100,6104,9971,0.610400,62,6104,0.006200,13,62,0.001300,0.026216,9.028248
13.000000,0.243680,10000,10000,1.000000,9445,10000,0.944500,179,9445,0.017900,25,179,0.002500,0.000000,9.017400
14.000000,0.148251,8751,10000,0.875100,1017,8751,0.101700,0,1017,0.000000,0,0,0.000000,1.129096,9.040000
15.000000,0.130285,7891,10000,0.789100,718,7891,0.071800,0,718,0.000000,0,0,0.000000,1.906536,9.040000
16.000000,0.025339,1927,10000,0.192700,6,1927,0.000600,0,6,0.000000,0,0,0.000000,7.297992,9.040000
17.000000,0.023239,1888,10000,0.188800,13,1888,0.001300,0,13,0.000000,0,0,0.000000,7.333248,9.040000
18.000000,0.002150,189,10000,0.018900,0,189,0.000000,0,0,0.000000,0,0,0.000000,8.869144,9.040000
19.000000,0.000201,19,10000,0.001900,0,19,0.000000,0,0,0.000000,0,0,0.000000,9.022824,9.040000
20.000000,0.000013,1,10000,0.000100,0,1,0.000000,0,0,0.000000,0,0,0.000000,9.039096,9.040000
21.000000,0.000000,0,10000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,9.040000,9.040000
