 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
3.000000,0.417414,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,0.000000,0.000000
4.000000,0.409034,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,0.000000,0.000000
5.000000,0.376315,10000,10000,1.000000,10000,10000,1.000000,9986,10000,0.998600,9928,9986,0.992800,0.000000,0.045504
6.000000,0.379746,10000,10000,1.000000,10000,10000,1.000000,9880,10000,0.988000,9229,9880,0.922900,0.000000,0.487272
7.000000,0.360020,10000,10000,1.000000,10000,10000,1.000000,9577,10000,0.957700,8677,9577,0.867700,0.000000,0.836136
8.000000,0.338706,10000,10000,1.000000,9997,10000,0.999700,6264,9997,0.626400,3982,6264,0.398200,0.000000,3.803376
9.000000,0.305973,9998,10000,0.999800,9155,9998,0.915500,2466,9155,0.246600,1203,2466,0.120300,0.001264,5.559704
10.000000,0.295940,9979,10000,0.997900,8224,9979,0.822400,1601,8224,0.160100,724,1601,0.072400,0.013272,5.862432
11.000000,0.231926,9382,10000,0.938200,4139,9382,0.413900,275,4139,0.027500,93,275,0.009300,0.390576,6.261224
12.000000,0.147940,6921,10000,0.692100,1258,6921,0.125800,38,1258,0.003800,16,38,0.001600,1.945928,6.309888
13.000000,0.092918,4743,10000,0.474300,451,4743,0.045100,3,451,0.000300,1,3,0.000100,3.322424,6.319368
14.000000,0.006230,385,10000,0.038500,4,385,0.000400,0,4,0.000000,0,0,0.000000,6.076680,6.320000
15.000000,0.006172,407,10000,0.040700,3,407,0.000300,0,3,0.000000,0,0,0.000000,6.062776,6.320000
16.000000,0.000341,28,10000,0.002800,0,28,0.000000,0,0,0.000000,0,0,0.000000,6.302304,6.320000
17.000000,0.000034,2,10000,0.000200,0,2,0.000000,0,0,0.000000,0,0,0.000000,6.318736,6.320000
18.000000,0.000038,2,10000,0.000200,0,2,0.000000,0,0,0.000000,0,0,0.000000,6.318736,6.320000
19.000000,0.000000,0,10000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,6.320000,6.320000
