 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
5.000000,0.382844,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,0.000000,0.000000
6.000000,0.361041,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,10000,10000,1.000000,0.000000,0.000000
7.000000,0.308355,10000,10000,1.000000,10000,10000,1.000000,9158,10000,0.915800,8028,9158,0.802800,0.000000,1.656480
8.000000,0.316805,10000,10000,1.000000,10000,10000,1.000000,8505,10000,0.850500,6222,8505,0.622200,0.000000,3.173520
9.000000,0.316701,10000,10000,1.000000,10000,10000,1.000000,9090,10000,0.909000,7242,9090,0.724200,0.000000,2.316720
10.000000,0.286158,10000,10000,1.000000,9997,10000,0.999700,5087,9997,0.508700,2724,5087,0.272400,0.000000,6.111840
11.000000,0.266262,10000,10000,1.000000,9792,10000,0.979200,1195,9792,0.119500,350,1195,0.035000,0.000000,8.106000
12.000000,0.232011,9991,10000,0.999100,7142,9991,0.714200,197,7142,0.019700,38,197,0.003800,0.007560,8.368080
13.000000,0.208044,9796,10000,0.979600,4112,9796,0.411200,33,4112,0.003300,8,33,0.000800,0.171360,8.393280
14.000000,0.164806,8766,10000,0.876600,1641,8766,0.164100,7,1641,0.000700,1,7,0.000100,1.036560,8.399160
15.000000,0.138993,8091,10000,0.809100,1018,8091,0.101800,2,1018,0.000200,0,2,0.000000,1.603560,8.400000
16.000000,0.065287,4395,10000,0.439500,129,4395,0.012900,0,129,0.000000,0,0,0.000000,4.708200,8.400000
17.000000,0.007617,601,10000,0.060100,1,601,0.000100,0,1,0.000000,0,0,0.000000,7.895160,8.400000
18.000000,0.001018,83,10000,0.008300,0,83,0.000000,0,0,0.000000,0,0,0.000000,8.330280,8.400000
19.000000,0.000009,1,10000,0.000100,0,1,0.000000,0,0,0.000000,0,0,0.000000,8.399160,8.400000
20.000000,0.000000,0,10000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,8.400000,8.400000
