 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-11.000000,0.398393,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-10.000000,0.381397,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,999,1000,0.999000,0.000000,0.002240
-9.000000,0.362777,1000,1000,1.000000,1000,1000,1.000000,999,1000,0.999000,993,999,0.993000,0.000000,0.015680
-8.000000,0.347295,1000,1000,1.000000,993,1000,0.993000,969,993,0.969000,946,969,0.946000,0.000000,0.120960
-7.000000,0.324996,1000,1000,1.000000,972,1000,0.972000,883,972,0.883000,803,883,0.803000,0.000000,0.441280
-6.000000,0.288187,983,1000,0.983000,860,983,0.860000,710,860,0.710000,591,710,0.591000,0.038080,0.916160
-5.000000,0.242455,909,1000,0.909000,660,909,0.660000,483,660,0.483000,377,483,0.377000,0.203840,1.395520
-4.000000,0.165996,697,1000,0.697000,423,697,0.423000,265,423,0.265000,196,265,0.196000,0.678720,1.800960
-3.000000,0.109339,489,1000,0.489000,229,489,0.229000,122,229,0.122000,82,122,0.082000,1.144640,2.056320
-2.000000,0.068723,339,1000,0.339000,127,339,0.127000,62,127,0.062000,40,62,0.040000,1.480640,2.150400
-1.000000,0.036214,195,1000,0.195000,50,195,0.050000,17,50,0.017000,5,17,0.005000,1.803200,2.228800
0.000000,0.013138,84,1000,0.084000,22,84,0.022000,8,22,0.008000,3,8,0.003000,2.051840,2.233280
1.000000,0.005259,33,1000,0.033000,9,33,0.009000,2,9,0.002000,1,2,0.001000,2.166080,2.237760
2.000000,0.001527,12,1000,0.012000,1,12,0.001000,0,1,0.000000,0,0,0.000000,2.213120,2.240000
3.000000,0.000348,3,1000,0.003000,0,3,0.000000,0,0,0.000000,0,0,0.000000,2.233280,2.240000
4.000000,0.000000,0,1000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,2.240000,2.240000
