 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-5.000000,0.420241,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-4.000000,0.393147,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-3.000000,0.370849,1000,1000,1.000000,1000,1000,1.000000,999,1000,0.999000,979,999,0.979000,0.000000,0.146160
-2.000000,0.364464,1000,1000,1.000000,1000,1000,1.000000,992,1000,0.992000,940,992,0.940000,0.000000,0.417600
-1.000000,0.347672,1000,1000,1.000000,1000,1000,1.000000,928,1000,0.928000,803,928,0.803000,0.000000,1.371120
0.000000,0.318550,1000,1000,1.000000,997,1000,0.997000,451,997,0.451000,235,451,0.235000,0.000000,5.324400
1.000000,0.309813,1000,1000,1.000000,989,1000,0.989000,272,989,0.272000,114,272,0.114000,0.000000,6.166560
2.000000,0.287046,1000,1000,1.000000,923,1000,0.923000,112,923,0.112000,37,112,0.037000,0.000000,6.702480
3.000000,0.225511,944,1000,0.944000,348,944,0.348000,17,348,0.017000,4,17,0.004000,0.389760,6.932160
4.000000,0.228753,955,1000,0.955000,402,955,0.402000,13,402,0.013000,4,13,0.004000,0.313200,6.932160
5.000000,0.152509,762,1000,0.762000,140,762,0.140000,1,140,0.001000,0,1,0.000000,1.656480,6.960000
6.000000,0.014619,91,1000,0.091000,1,91,0.001000,0,1,0.000000,0,0,0.000000,6.326640,6.960000
7.000000,0.008450,56,1000,0.056000,0,56,0.000000,0,0,0.000000,0,0,0.000000,6.570240,6.960000
8.000000,0.002034,15,1000,0.015000,0,15,0.000000,0,0,0.000000,0,0,0.000000,6.855600,6.960000
9.000000,0.000000,0,1000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,6.960000,6.960000
