 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-4.000000,0.378959,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-3.000000,0.359251,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-2.000000,0.351705,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-1.000000,0.324491,1000,1000,1.000000,1000,1000,1.000000,992,1000,0.992000,944,992,0.944000,0.000000,0.506240
0.000000,0.308825,1000,1000,1.000000,1000,1000,1.000000,954,1000,0.954000,826,954,0.826000,0.000000,1.572960
1.000000,0.300400,1000,1000,1.000000,1000,1000,1.000000,680,1000,0.680000,364,680,0.364000,0.000000,5.749440
2.000000,0.262473,1000,1000,1.000000,1000,1000,1.000000,318,1000,0.318000,130,318,0.130000,0.000000,7.864800
3.000000,0.252277,1000,1000,1.000000,982,1000,0.982000,88,982,0.088000,25,88,0.025000,0.000000,8.814000
4.000000,0.228334,1000,1000,1.000000,751,1000,0.751000,10,751,0.010000,0,10,0.000000,0.000000,9.040000
5.000000,0.173601,930,1000,0.930000,189,930,0.189000,1,189,0.001000,0,1,0.000000,0.632800,9.040000
6.000000,0.089835,604,1000,0.604000,24,604,0.024000,0,24,0.000000,0,0,0.000000,3.579840,9.040000
7.000000,0.060728,429,1000,0.429000,7,429,0.007000,0,7,0.000000,0,0,0.000000,5.161840,9.040000
8.000000,0.024551,197,1000,0.197000,0,197,0.000000,0,0,0.000000,0,0,0.000000,7.259120,9.040000
9.000000,0.002360,18,1000,0.018000,0,18,0.000000,0,0,0.000000,0,0,0.000000,8.877280,9.040000
10.000000,0.002567,24,1000,0.024000,0,24,0.000000,0,0,0.000000,0,0,0.000000,8.823040,9.040000
11.000000,0.000300,2,1000,0.002000,0,2,0.000000,0,0,0.000000,0,0,0.000000,9.021920,9.040000
12.000000,0.000000,0,1000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,9.040000,9.040000
