 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-4.000000,0.393134,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-3.000000,0.374666,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-2.000000,0.351186,1000,1000,1.000000,1000,1000,1.000000,997,1000,0.997000,984,997,0.984000,0.000000,0.124160
-1.000000,0.329054,1000,1000,1.000000,1000,1000,1.000000,892,1000,0.892000,710,892,0.710000,0.000000,2.250400
0.000000,0.305197,1000,1000,1.000000,1000,1000,1.000000,508,1000,0.508000,262,508,0.262000,0.000000,5.726880
1.000000,0.309684,1000,1000,1.000000,1000,1000,1.000000,449,1000,0.449000,207,449,0.207000,0.000000,6.153680
2.000000,0.272258,1000,1000,1.000000,964,1000,0.964000,139,964,0.139000,40,139,0.040000,0.000000,7.449600
3.000000,0.219330,976,1000,0.976000,393,976,0.393000,22,393,0.022000,5,22,0.005000,0.186240,7.721200
4.000000,0.143348,779,1000,0.779000,88,779,0.088000,1,88,0.001000,0,1,0.000000,1.714960,7.760000
5.000000,0.126653,707,1000,0.707000,62,707,0.062000,1,62,0.001000,0,1,0.000000,2.273680,7.760000
6.000000,0.030159,196,1000,0.196000,1,196,0.001000,0,1,0.000000,0,0,0.000000,6.239040,7.760000
7.000000,0.017946,114,1000,0.114000,1,114,0.001000,0,1,0.000000,0,0,0.000000,6.875360,7.760000
8.000000,0.008928,66,1000,0.066000,0,66,0.000000,0,0,0.000000,0,0,0.000000,7.247840,7.760000
9.000000,0.000274,2,1000,0.002000,0,2,0.000000,0,0,0.000000,0,0,0.000000,7.744480,7.760000
10.000000,0.000000,0,1000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,7.760000,7.760000
