 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-8.000000,0.435029,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-7.000000,0.418003,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,999,1000,0.999000,0.000000,0.003760
-6.000000,0.387718,1000,1000,1.000000,1000,1000,1.000000,997,1000,0.997000,993,997,0.993000,0.000000,0.026320
-5.000000,0.395402,1000,1000,1.000000,1000,1000,1.000000,994,1000,0.994000,974,994,0.974000,0.000000,0.097760
-4.000000,0.351556,1000,1000,1.000000,985,1000,0.985000,866,985,0.866000,785,866,0.785000,0.000000,0.808400
-3.000000,0.328247,998,1000,0.998000,904,998,0.904000,666,904,0.666000,573,666,0.573000,0.007520,1.605520
-2.000000,0.296059,968,1000,0.968000,737,968,0.737000,455,737,0.455000,352,455,0.352000,0.120320,2.436480
-1.000000,0.146816,589,1000,0.589000,227,589,0.227000,99,227,0.099000,61,99,0.061000,1.545360,3.530640
0.000000,0.103388,434,1000,0.434000,132,434,0.132000,42,132,0.042000,24,42,0.024000,2.128160,3.669760
1.000000,0.047237,202,1000,0.202000,46,202,0.046000,13,46,0.013000,7,13,0.007000,3.000480,3.733680
2.000000,0.014896,72,1000,0.072000,5,72,0.005000,2,5,0.002000,1,2,0.001000,3.489280,3.756240
3.000000,0.014699,72,1000,0.072000,7,72,0.007000,0,7,0.000000,0,0,0.000000,3.489280,3.760000
4.000000,0.004029,22,1000,0.022000,1,22,0.001000,0,1,0.000000,0,0,0.000000,3.677280,3.760000
5.000000,0.000199,1,1000,0.001000,0,1,0.000000,0,0,0.000000,0,0,0.000000,3.756240,3.760000
6.000000,0.000250,2,1000,0.002000,0,2,0.000000,0,0,0.000000,0,0,0.000000,3.752480,3.760000
7.000000,0.000000,0,1000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,3.760000,3.760000
