 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-15.000000,0.428500,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-14.000000,0.419464,1000,1000,1.000000,999,1000,0.999000,998,999,0.998000,998,998,0.998000,0.000000,0.001120
-13.000000,0.396679,1000,1000,1.000000,1000,1000,1.000000,999,1000,0.999000,996,999,0.996000,0.000000,0.002240
-12.000000,0.381089,1000,1000,1.000000,996,1000,0.996000,985,996,0.985000,962,985,0.962000,0.000000,0.021280
-11.000000,0.359339,992,1000,0.992000,956,992,0.956000,893,956,0.893000,828,893,0.828000,0.004480,0.096320
-10.000000,0.329268,962,1000,0.962000,875,962,0.875000,754,875,0.754000,652,754,0.652000,0.021280,0.194880
-9.000000,0.287250,885,1000,0.885000,738,885,0.738000,582,738,0.582000,444,582,0.444000,0.064400,0.311360
-8.000000,0.222786,736,1000,0.736000,508,736,0.508000,333,508,0.333000,230,333,0.230000,0.147840,0.431200
-7.000000,0.186982,611,1000,0.611000,393,611,0.393000,250,393,0.250000,147,250,0.147000,0.217840,0.477680
-6.000000,0.134411,466,1000,0.466000,272,466,0.272000,133,272,0.133000,59,133,0.059000,0.299040,0.526960
-5.000000,0.082964,298,1000,0.298000,138,298,0.138000,63,138,0.063000,19,63,0.019000,0.393120,0.549360
-4.000000,0.056518,203,1000,0.203000,83,203,0.083000,34,83,0.034000,13,34,0.013000,0.446320,0.552720
-3.000000,0.044750,164,1000,0.164000,61,164,0.061000,23,61,0.023000,9,23,0.009000,0.468160,0.554960
-2.000000,0.021000,80,1000,0.080000,24,80,0.024000,8,24,0.008000,2,8,0.002000,0.515200,0.558880
-1.000000,0.009839,39,1000,0.039000,13,39,0.013000,4,13,0.004000,1,4,0.001000,0.538160,0.559440
0.000000,0.002179,9,1000,0.009000,2,9,0.002000,0,2,0.000000,0,0,0.000000,0.554960,0.560000
1.000000,0.000304,1,1000,0.001000,1,1,0.001000,0,1,0.000000,0,0,0.000000,0.559440,0.560000
2.000000,0.000304,1,1000,0.001000,1,1,0.001000,0,1,0.000000,0,0,0.000000,0.559440,0.560000
3.000000,0.000000,0,1000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0.560000,0.560000
