 SNR, Ber, error1,trials,Bler1,error2,trials,Bler2,error3,trials,Bler3,error4,trials,Bler4,Throughput without HARQ,Throughput
-2.000000,0.342908,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
-1.000000,0.337164,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,0.000000,0.000000
0.000000,0.304285,1000,1000,1.000000,1000,1000,1.000000,1000,1000,1.000000,990,1000,0.990000,0.000000,0.106400
1.000000,0.284701,1000,1000,1.000000,1000,1000,1.000000,989,1000,0.989000,873,989,0.873000,0.000000,1.351280
2.000000,0.243547,1000,1000,1.000000,1000,1000,1.000000,488,1000,0.488000,232,488,0.232000,0.000000,8.171520
3.000000,0.243003,1000,1000,1.000000,1000,1000,1.000000,211,1000,0.211000,52,211,0.052000,0.000000,10.086720
4.000000,0.228510,1000,1000,1.000000,1000,1000,1.000000,80,1000,0.080000,11,80,0.011000,0.000000,10.522960
5.000000,0.193929,1000,1000,1.000000,878,1000,0.878000,1,878,0.001000,0,1,0.000000,0.000000,10.640000
6.000000,0.183975,999,1000,0.999000,752,999,0.752000,0,752,0.000000,0,0,0.000000,0.010640,10.640000
7.000000,0.154760,985,1000,0.985000,350,985,0.350000,0,350,0.000000,0,0,0.000000,0.159600,10.640000
8.000000,0.079252,672,1000,0.672000,23,672,0.023000,0,23,0.000000,0,0,0.000000,3.489920,10.640000
9.000000,0.033566,332,1000,0.332000,1,332,0.001000,0,1,0.000000,0,0,0.000000,7.107520,10.640000
10.000000,0.022238,244,1000,0.244000,0,244,0.000000,0,0,0.000000,0,0,0.000000,8.043840,10.640000
11.000000,0.007882,86,1000,0.086000,0,86,0.000000,0,0,0.000000,0,0,0.000000,9.724960,10.640000
12.000000,0.000188,2,1000,0.002000,0,2,0.000000,0,0,0.000000,0,0,0.000000,10.618720,10.640000
13.000000,0.000168,2,1000,0.002000,0,2,0.000000,0,0,0.000000,0,0,0.000000,10.618720,10.640000
14.000000,0.000000,0,1000,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,10.640000,10.640000
